,CCAA_name,Provincia_name,Total: Millones vehículos-km,porcentaje_carreteras_ccaa_y_estado
0,andalucia,almeria,3425.81,0.8304167481559106
1,andalucia,cadiz,4725.45,0.8779337417600441
2,andalucia,cordoba,3346.18,0.816349389453048
3,andalucia,granada,5600.93,0.790526930349067
4,andalucia,huelva,2792.73,0.8558915469809112
5,andalucia,jaen,2994.85,0.8835160358615624
6,andalucia,malaga,8070.73,0.8980726650501256
7,andalucia,sevilla,7681.57,0.8641040828893053
8,andalucia,andalucia,38638.26,0.8560134436695648
9,aragon,huesca,1758.71,0.9762951254044157
10,aragon,teruel,1073.22,0.962952609902909
11,aragon,zaragoza,4539.27,0.98321095682786
12,aragon,aragon,9133.22,0.9441528836489212
13,principado_de_asturias,asturias,5587.5,0.9272823266219239
14,principado_de_asturias,subtotal_asturias_principado_de,5587.5,0.9272823266219239
15,illes_balears,illes_balears,9440.57,0.8
16,illes_balears,illes_balears,9440.57,0.8
17,islas_canarias,palmas_las,5008.48,0.8
18,islas_canarias,santa_cruz_de_tenerife,5794.23,0.8
19,islas_canarias,islas_canarias,10802.71,0.8
20,cantabria,cantabria,4383.86,0.9527612651863884
21,cantabria,cantabria,4383.86,0.9527612651863884
22,castilla_la_mancha,albacete,2849.71,0.8724150878510445
23,castilla_la_mancha,ciudad_real,3308.56,0.858456851319003
24,castilla_la_mancha,cuenca,3010.41,0.9266418859889518
25,castilla_la_mancha,guadalajara,2133.04,0.8760379552188425
26,castilla_la_mancha,toledo,6401.0,0.8978534603968129
27,castilla_la_mancha,castilla_la_mancha,17702.72,0.8886619683302905
28,castilla_y_leon,avila,1381.91,0.8618578633919719
29,castilla_y_leon,burgos,3736.07,0.914741426151009
30,castilla_y_leon,leon,3474.53,0.8096283526117202
31,castilla_y_leon,palencia,1612.95,0.8742800458786695
32,castilla_y_leon,salamanca,2155.67,0.8302615892042845
33,castilla_y_leon,segovia,1974.36,0.840032212970279
34,castilla_y_leon,soria,1268.42,0.891628955708677
35,castilla_y_leon,valladolid,3333.82,0.9085205559988241
36,castilla_y_leon,zamora,2038.61,0.872673046830929
37,castilla_y_leon,castilla_y_leon,20976.35,0.8685473878916018
38,cataluna,barcelona,8838.35,0.8445015189486725
39,cataluna,girona,2750.74,0.9122745152213586
40,cataluna,lleida,2117.98,0.9377567304695984
41,cataluna,tarragona,4291.55,0.9189243979447985
42,cataluna,cataluna,35986.0,0.8418022008558885
43,ceuta,ceuta,0.0,
44,ceuta,ceuta,0.0,
45,comunidad_valenciana,alicante,8569.93,0.8656712481898918
46,comunidad_valenciana,castellon,3666.33,0.8981591946169603
47,comunidad_valenciana,valencia,11953.0,0.8346850163138961
48,comunidad_valenciana,comunidad_valenciana,24189.26,0.8552837085549538
49,extremadura,badajoz,3942.09,0.8376434835328468
50,extremadura,caceres,3025.91,0.8308482406945349
51,extremadura,extremadura,6968.0,0.8346937428243398
52,galicia,a_coruna,6661.4,0.8057135136758039
53,galicia,lugo,2981.72,0.7859054505453228
54,galicia,ourense,2389.72,0.8101576753761948
55,galicia,pontevedra,5529.79,0.8158374911162991
56,galicia,galicia,17562.63,0.8061429296181721
57,comunidad_de_madrid,madrid,24347.78,0.9348051444525949
58,comunidad_de_madrid,comunidad_de_madrid,24347.78,0.9348051444525949
59,melilla,melilla,0.0,
60,melilla,melilla,0.0,
61,region_de_murcia,murcia,7832.29,0.9136599896071265
62,region_de_murcia,region_de_murcia,7832.29,0.9136599896071265
63,comunidad_foral_de_navarra,navarra,4321.78,0.8081193397165057
64,comunidad_foral_de_navarra,comunidad_foral_de_navarra,4321.78,0.8081193397165057
65,pais_vasco,alava,1869.3,0.8329417428984112
66,pais_vasco,guipuzcoa,3593.26,0.8
67,pais_vasco,vizcaya,4986.24,0.8095651232190991
68,pais_vasco,pais_vasco,10448.79,0.8104595843155045
69,la_rioja,la_rioja,1870.0,0.9482887700534759
70,la_rioja,la_rioja,1870.0,0.9482887700534759
