,Código,Etiqueta,Ganancia media anual por salario mínimo interprofesional (serie) 2014
0,61,Andalucía,2.31
1,62,Aragón,2.45
2,63,Principado de Asturias,2.44
3,64,Illes Balears,2.36
4,65,Canarias,2.15
5,66,Cantabria,2.35
6,67,Castilla y León,2.27
7,68,Castilla-La Mancha,2.29
8,69,Cataluña/Catalunya,2.65
9,70,Extremadura,2.12
10,71,Galicia,2.24
11,72,Comunidad de Madrid,2.94
12,73,Región de Murcia,2.29
13,74,Comunidad Foral de Navarra,2.73
14,75,País Vasco/Euskadi,3.08
15,76,La Rioja,2.43
16,77,Comunitat Valenciana,2.28
17,78,Ciudad de Ceuta,
18,79,Ciudad de Melilla,
