,cp,uds_hospiatales
0,01002,1
1,01006,1
2,01007,1
3,01008,1
4,01009,1
5,01309,1
6,02003,1
7,02006,4
8,02008,1
9,02400,1
10,02600,1
11,02640,1
12,03010,1
13,03013,1
14,03015,1
15,03016,1
16,03110,1
17,03113,1
18,03184,1
19,03186,1
20,03203,2
21,03293,1
22,03314,1
23,03501,1
24,03503,1
25,03550,1
26,03570,1
27,03600,1
28,03690,1
29,03700,3
30,03778,1
31,03791,1
32,03802,1
33,03804,1
34,04007,1
35,04008,1
36,04009,3
37,04131,1
38,04600,1
39,04700,1
40,05003,1
41,05005,1
42,05071,2
43,05200,1
44,06006,1
45,06010,2
46,06011,1
47,06080,2
48,06200,2
49,06300,2
50,06400,3
51,06640,1
52,06700,1
53,06800,4
54,06900,2
55,07004,1
56,07007,1
57,07010,2
58,07011,1
59,07012,3
60,07014,2
61,07110,1
62,07120,1
63,07198,1
64,07300,1
65,07458,1
66,07500,1
67,07609,1
68,07680,1
69,07703,2
70,07760,1
71,07800,3
72,07860,1
73,08003,1
74,08006,6
75,08008,1
76,08009,1
77,08016,1
78,08017,4
79,08018,1
80,08019,1
81,08021,1
82,08022,5
83,08023,5
84,08024,7
85,08025,5
86,08028,2
87,08029,3
88,08030,3
89,08034,4
90,08035,7
91,08036,1
92,08038,1
93,08041,1
94,08042,2
95,08100,3
96,08140,1
97,08174,3
98,08195,2
99,08202,1
100,08203,1
101,08208,1
102,08221,4
103,08227,2
104,08241,2
105,08242,1
106,08243,1
107,08250,1
108,08301,3
109,08304,1
110,08310,2
111,08328,1
112,08340,1
113,08358,1
114,08370,1
115,08392,1
116,08402,3
117,08430,1
118,08470,2
119,08480,1
120,08500,3
121,08560,1
122,08600,1
123,08635,2
124,08692,2
125,08700,2
126,08720,2
127,08750,1
128,08760,2
129,08800,1
130,08810,1
131,08830,4
132,08840,2
133,08902,1
134,08905,1
135,08906,2
136,08907,1
137,08908,2
138,08911,1
139,08916,3
140,08917,1
141,08921,1
142,08923,1
143,08940,1
144,08950,4
145,08970,1
146,09003,2
147,09006,3
148,09200,1
149,09400,2
150,10001,1
151,10002,1
152,10003,2
153,10004,1
154,10300,1
155,10600,3
156,10800,1
157,11001,1
158,11002,1
159,11009,1
160,11110,1
161,11130,2
162,11207,3
163,11300,2
164,11379,1
165,11405,1
166,11407,1
167,11408,3
168,11500,1
169,11510,1
170,11540,1
171,11650,1
172,12002,1
173,12004,4
174,12140,1
175,12500,1
176,12540,1
177,13002,2
178,13005,1
179,13200,1
180,13300,1
181,13500,1
182,13600,1
183,13700,1
184,14002,1
185,14004,6
186,14012,2
187,14200,1
188,14400,1
189,14500,1
190,14550,1
191,14940,1
192,15001,1
193,15006,5
194,15009,2
195,15011,3
196,15270,1
197,15405,3
198,15406,1
199,15701,2
200,15705,1
201,15706,5
202,15821,1
203,15993,1
204,16002,1
205,16003,1
206,17002,2
207,17004,2
208,17007,4
209,17190,3
210,17230,2
211,17300,2
212,17310,1
213,17520,2
214,17530,1
215,17600,3
216,17800,1
217,17820,1
218,18001,2
219,18004,1
220,18008,1
221,18014,3
222,18016,1
223,18300,1
224,18500,1
225,18600,1
226,18800,1
227,19001,1
228,19002,1
229,19003,1
230,19004,1
231,19141,1
232,20009,1
233,20012,1
234,20014,3
235,20018,2
236,20170,1
237,20280,1
238,20400,1
239,20500,1
240,20509,2
241,20700,1
242,20850,1
243,21002,1
244,21004,1
245,21005,3
246,21080,2
247,21440,1
248,21660,1
249,22004,2
250,22006,2
251,22300,1
252,22520,1
253,22700,1
254,23007,3
255,23008,1
256,23009,1
257,23071,1
258,23350,1
259,23400,1
260,23660,1
261,23680,1
262,23700,1
263,23740,1
264,24003,1
265,24004,1
266,24008,1
267,24010,1
268,24080,3
269,24100,1
270,24193,1
271,24401,1
272,24404,2
273,25001,1
274,25002,2
275,25003,1
276,25004,1
277,25100,1
278,25110,1
279,25198,3
280,25280,1
281,25430,1
282,25530,1
283,25600,1
284,25620,1
285,25700,1
286,25790,1
287,26001,1
288,26006,3
289,26120,1
290,26140,1
291,26200,1
292,26500,2
293,27001,1
294,27003,2
295,27004,1
296,27210,1
297,27400,1
298,27880,1
299,28002,2
300,28003,4
301,28005,1
302,28006,4
303,28007,4
304,28008,1
305,28009,2
306,28010,1
307,28015,1
308,28016,2
309,28023,2
310,28027,2
311,28028,1
312,28029,1
313,28031,3
314,28033,1
315,28034,2
316,28035,3
317,28040,3
318,28041,1
319,28043,4
320,28044,1
321,28046,2
322,28047,2
323,28049,3
324,28050,2
325,28054,1
326,28200,1
327,28222,2
328,28223,1
329,28250,1
330,28300,1
331,28342,1
332,28350,2
333,28400,1
334,28440,2
335,28470,1
336,28500,1
337,28600,1
338,28630,1
339,28660,1
340,28690,1
341,28702,1
342,28801,1
343,28805,1
344,28822,1
345,28823,1
346,28850,1
347,28905,1
348,28911,3
349,28914,1
350,28922,2
351,28933,1
352,28935,1
353,28938,1
354,28942,1
355,28981,1
356,29004,1
357,29007,2
358,29009,1
359,29010,4
360,29011,1
361,29012,1
362,29014,2
363,29015,1
364,29016,2
365,29018,2
366,29200,1
367,29400,1
368,29570,1
369,29600,2
370,29602,1
371,29603,3
372,29620,2
373,29630,2
374,29631,1
375,29660,1
376,29680,2
377,29700,1
378,29730,1
379,29780,1
380,29790,1
381,30003,1
382,30008,2
383,30010,1
384,30011,1
385,30100,1
386,30120,4
387,30202,1
388,30203,2
389,30204,1
390,30205,2
391,30310,1
392,30396,1
393,30400,2
394,30430,1
395,30500,1
396,30510,1
397,30530,1
398,30739,1
399,30740,1
400,30800,1
401,30817,1
402,30820,1
403,31003,1
404,31006,2
405,31008,2
406,31014,1
407,31015,1
408,31200,1
409,31500,1
410,31700,1
411,31800,1
412,32003,2
413,32005,3
414,32300,1
415,32600,1
416,32930,1
417,33006,1
418,33011,2
419,33012,3
420,33193,1
421,33201,1
422,33202,1
423,33203,2
424,33204,2
425,33290,1
426,33394,1
427,33401,2
428,33540,1
429,33611,1
430,33690,1
431,33700,1
432,33719,1
433,33800,1
434,33900,1
435,33920,1
436,34004,2
437,34005,4
438,35001,1
439,35003,1
440,35005,2
441,35007,1
442,35008,1
443,35010,2
444,35014,1
445,35016,3
446,35017,2
447,35100,2
448,35212,1
449,35300,1
450,35450,1
451,35500,2
452,35508,1
453,35510,1
454,35600,2
455,36001,1
456,36002,1
457,36004,1
458,36071,2
459,36163,1
460,36200,1
461,36203,3
462,36204,1
463,36206,1
464,36208,1
465,36211,2
466,36214,1
467,36312,2
468,36619,1
469,37007,3
470,37192,1
471,38001,1
472,38002,1
473,38006,4
474,38008,1
475,38009,1
476,38010,2
477,38312,1
478,38320,2
479,38350,1
480,38400,1
481,38430,1
482,38437,1
483,38650,1
484,38660,2
485,38700,1
486,38713,1
487,38800,1
488,38900,1
489,39006,1
490,39008,1
491,39012,2
492,39108,1
493,39300,1
494,39770,1
495,40002,2
496,40003,1
497,40194,1
498,41002,1
499,41005,1
500,41007,1
501,41009,3
502,41010,1
503,41012,2
504,41013,7
505,41014,3
506,41018,1
507,41071,1
508,41089,1
509,41400,1
510,41450,1
511,41500,1
512,41530,1
513,41640,1
514,41703,1
515,41710,1
516,41740,1
517,41930,2
518,41950,1
519,42005,3
520,43002,2
521,43003,1
522,43005,2
523,43006,1
524,43007,1
525,43203,1
526,43204,3
527,43205,1
528,43206,1
529,43480,1
530,43500,2
531,43590,1
532,43700,1
533,43710,1
534,43740,1
535,43800,2
536,43840,1
537,43870,2
538,44001,2
539,44002,1
540,44600,1
541,45004,3
542,45005,2
543,45006,1
544,45071,2
545,45600,2
546,46004,1
547,46007,1
548,46009,1
549,46010,2
550,46011,2
551,46014,1
552,46015,2
553,46017,2
554,46021,1
555,46026,1
556,46100,1
557,46110,1
558,46117,1
559,46118,1
560,46160,1
561,46184,1
562,46340,1
563,46520,1
564,46600,1
565,46700,1
566,46702,1
567,46740,1
568,46792,1
569,46800,1
570,46870,1
571,46920,1
572,46940,1
573,47002,1
574,47003,2
575,47007,1
576,47008,1
577,47012,1
578,47400,1
579,48004,1
580,48006,1
581,48007,1
582,48009,1
583,48010,3
584,48013,2
585,48014,1
586,48170,1
587,48250,1
588,48370,1
589,48610,1
590,48630,1
591,48902,1
592,48903,1
593,48950,1
594,48960,1
595,48980,2
596,49021,1
597,49022,2
598,49023,1
599,49600,1
600,50004,1
601,50006,3
602,50009,4
603,50012,2
604,50015,2
605,50190,1
606,50191,1
607,50300,1
608,50600,1
609,50670,1
610,50820,1
611,51003,1
612,52005,1
